1 s a t u
2 d u a 
3 t i g a
4 ə m p a t
5 l i m a
6 ə n a m
7 t u d ʒ u h
8 d ə l a p a n
9 s ə m b i l a n
10 s ə p u l u h
11 s ə b ə l a s
21 d u a p u l u h s a t u
29 d u a p u l u h s ə m b i l a n
30 t i g a p u l u h
100 s ə r a t u s
15 l i m a b ə l a s
1879 d ə l a p a n b ə l a s t u d ʒ u h p u l u h s ə m b i l a n
ampela	a m p ə l a 
ampél	a m p e l 
ampel	a m p ə l 
ampelas	a m p ə l a s 
ampére	a m p e r ə 
amplifikasi	a m p l i f i k a s i 
amplitudo	a m p l i t u d o 
amplop	a m p l o p 
ampo	a m p o 
amprok	a m p r o ʔ 
ampu	a m p u 
ampuh	a m p u h 
ampuk	a m p u ʔ 
ampul	a m p u l 
ampun	a m p u n 
ampunan	a m p u n a n 
amput	a m p u t 
amputan	a m p u t a n 
amputasi	a m p u t a s i 
amra	a m r a 
amri	a m r i 
amril	a m r i l 
amsal	a m s a l 
amtenar	a m t ə n a r 
amuh	a m u h 
amuk	a m u ʔ 
amukan	a m u k a n 
amulét	a m u l e t 
amung	a m u ŋ 
amunisi	a m u n i s i 
ana	a n a 
anabolisme	a n a b o l i s m ə 
anaérob	a n a e r o b 
anaérobik	a n a e r o b i ʔ 
anafilaksis	a n a f i l a ʔ s i s 
anafora	a n a f o r a 
anafrodisiak	a n a f r o d i s i a ʔ 
anai	a n a i 
anak	a n a ʔ 
anakan	a n a k a n 
anakku	a n a ʔ k u 
anakmu	a n a ʔ m u 
anaknya	a n a ʔ ɲ a 
anakronisme	a n a ʔ r o n i s m ə 
anakronistis	a n a ʔ r o n i s t i s 
anal	a n a l 
analékta	a n a l e ʔ t a 
analgésik	a n a l g e s i ʔ 
analis	a n a l i s 
analisis	a n a l i s i s 
analitis	a n a l i t i s 
analog	a n a l o g 
analogi	a n a l o g i 
ananda	a n a n d a 
anang	a n a ŋ 
anani	a n a n i 
anarki	a n a r k i 
anarkis	a n a r k i s 
anarkisme	a n a r k i s m ə 
anarkistis	a n a r k i s t i s 
anas	a n a s 
anasional	a n a s i o n a l 
anasir	a n a s i r 
anatomi	a n a t o m i 
anatomis	a n a t o m i s 
anbia	a n b i a 
anca	a n t ʃ a 
ancai	a n t ʃ a i 
ancak	a n t ʃ a ʔ 
ancala	a n t ʃ a l a 
ancaman	a n t ʃ a m a n 
ancam	a n t ʃ a m 
ancangan	a n t ʃ a ŋ a n 
ancang	a n t ʃ a ŋ 
ancar	a n t ʃ a r 
ancoa	a n t ʃ o a 
ancol	a n t ʃ o l 
ancuk	a n t ʃ u ʔ 
-anda	- a n d a 
anda	a n d a 
andaian	a n d a i a n 
andai	a n d a i 
andainya	a n d a i ɲ a 
andaka	a n d a k a 
andak	a n d a ʔ 
andalan	a n d a l a n 
andal	a n d a l 
andalas	a n d a l a s 
andalkan	a n d a l k a n 
